mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP,mean_overlapping_bboxes_test,class_acc_test,loss_rpn_cls_test,loss_rpn_regr_test,loss_class_cls_test,loss_class_regr_test,curr_loss_test,elapsed_time_test,mAP_test
13.42,0.902,0.069,0.134,0.226,0.423,0.852,10.382,0.0,12.98,0.903,0.063,0.134,0.22399999999999998,0.42100000000000004,0.8420000000000001,1.083,0.0
13.613,0.905,0.083,0.133,0.22,0.41600000000000004,0.852,10.367,0.0,12.847000000000001,0.909,0.075,0.129,0.213,0.40399999999999997,0.8220000000000001,1.004,0.0
13.995999999999999,0.904,0.063,0.125,0.221,0.42200000000000004,0.8320000000000001,10.449000000000002,0.0,15.104000000000001,0.903,0.057999999999999996,0.12300000000000001,0.221,0.415,0.8170000000000001,1.0270000000000001,0.0
14.845999999999998,0.895,0.057,0.136,0.245,0.462,0.9,10.664000000000001,0.0,14.083,0.897,0.057,0.133,0.243,0.452,0.885,0.951,0.0
13.629000000000001,0.91,0.053,0.124,0.214,0.39899999999999997,0.79,10.202,0.0,13.094000000000001,0.9129999999999999,0.055,0.12,0.20800000000000002,0.391,0.774,1.0070000000000001,0.0
14.603,0.915,0.063,0.114,0.203,0.32899999999999996,0.708,10.280999999999999,0.0,15.812000000000001,0.915,0.06,0.111,0.201,0.324,0.6970000000000001,1.081,0.0
13.739,0.909,0.065,0.121,0.21,0.402,0.797,10.052,0.0,13.365,0.909,0.061,0.11800000000000001,0.209,0.397,0.785,1.003,0.0
14.054,0.9079999999999999,0.046,0.128,0.215,0.40700000000000003,0.7959999999999999,9.921,0.0,14.427,0.9079999999999999,0.046,0.125,0.214,0.405,0.789,0.948,0.0
14.439,0.9059999999999999,0.055,0.113,0.22,0.396,0.784,10.192,0.0,13.49,0.907,0.059000000000000004,0.113,0.217,0.39,0.779,1.008,0.0
13.947000000000001,0.898,0.069,0.127,0.23399999999999999,0.433,0.863,10.117,0.0,14.392000000000001,0.898,0.068,0.126,0.23399999999999999,0.429,0.858,1.065,0.0
13.364,0.9079999999999999,0.055999999999999994,0.11800000000000001,0.21600000000000003,0.386,0.7759999999999999,10.126,0.0,12.690999999999999,0.91,0.055,0.114,0.21100000000000002,0.377,0.758,1.023,0.0
12.405999999999999,0.9209999999999999,0.048,0.11599999999999999,0.193,0.35,0.7070000000000001,10.124,0.0,12.542,0.9209999999999999,0.049,0.115,0.192,0.344,0.7,1.018,0.0
12.737,0.915,0.063,0.115,0.20600000000000002,0.382,0.7659999999999999,9.985,0.0,13.134,0.914,0.06,0.114,0.20600000000000002,0.376,0.7559999999999999,0.9990000000000001,0.0
14.605,0.9009999999999999,0.05,0.11699999999999999,0.226,0.40700000000000003,0.8009999999999999,10.538,0.0,14.958,0.902,0.052000000000000005,0.115,0.223,0.397,0.787,0.9390000000000001,0.0
13.925,0.917,0.054000000000000006,0.109,0.196,0.401,0.76,10.122,0.0,13.536,0.9179999999999999,0.055,0.109,0.195,0.39799999999999996,0.7559999999999999,1.0070000000000001,0.0
13.347000000000001,0.922,0.053,0.107,0.185,0.33399999999999996,0.6779999999999999,10.265999999999998,0.0,12.804,0.924,0.051,0.106,0.182,0.332,0.6709999999999999,1.1340000000000001,0.0
13.134,0.917,0.04,0.11,0.19699999999999998,0.365,0.7120000000000001,10.051,0.0,13.542,0.92,0.037000000000000005,0.106,0.191,0.354,0.688,0.96,0.0
13.434000000000001,0.919,0.051,0.11699999999999999,0.193,0.379,0.741,10.042,0.0,13.505,0.9209999999999999,0.051,0.115,0.188,0.366,0.72,0.9590000000000001,0.0
13.213,0.9129999999999999,0.061,0.102,0.20199999999999999,0.35600000000000004,0.721,10.176,0.0,14.144,0.9159999999999999,0.064,0.102,0.19699999999999998,0.35,0.713,1.025,0.0
13.437999999999999,0.912,0.062,0.12,0.20800000000000002,0.387,0.7759999999999999,10.238,0.0,13.866,0.9129999999999999,0.057,0.11800000000000001,0.205,0.38299999999999995,0.762,1.064,0.0
12.829,0.919,0.040999999999999995,0.1,0.18899999999999997,0.33,0.66,10.086,0.0,13.155,0.92,0.039,0.099,0.185,0.322,0.644,1.09,0.0
13.001,0.922,0.052000000000000005,0.102,0.187,0.32299999999999995,0.664,10.073,0.0,13.854000000000001,0.924,0.052000000000000005,0.10099999999999999,0.185,0.317,0.655,0.958,0.0
12.865,0.922,0.059000000000000004,0.105,0.187,0.33799999999999997,0.6890000000000001,10.065,0.0,13.424000000000001,0.9229999999999999,0.051,0.10300000000000001,0.185,0.33299999999999996,0.6709999999999999,0.987,0.0
15.085,0.9129999999999999,0.040999999999999995,0.105,0.203,0.342,0.69,10.437000000000001,0.0,14.526,0.912,0.04,0.10099999999999999,0.203,0.337,0.682,0.958,0.0
14.543,0.924,0.027999999999999997,0.091,0.179,0.29100000000000004,0.589,10.173,0.0,14.05,0.924,0.028999999999999998,0.08900000000000001,0.17800000000000002,0.287,0.583,1.115,0.0
13.658,0.92,0.054000000000000006,0.10400000000000001,0.185,0.32299999999999995,0.6659999999999999,10.298,0.0,13.633,0.919,0.055999999999999994,0.105,0.188,0.33,0.68,1.01,0.0
12.635,0.919,0.036000000000000004,0.10300000000000001,0.18899999999999997,0.34,0.667,9.863,0.0,13.133,0.9229999999999999,0.035,0.099,0.18100000000000002,0.33299999999999996,0.648,1.023,0.0
14.145999999999999,0.912,0.034,0.102,0.205,0.381,0.722,10.087,0.0,13.155,0.914,0.028999999999999998,0.098,0.2,0.35600000000000004,0.684,0.934,0.0
